Time,SETPOINT,PV 1,PV 2,MV 1,MV 2
253,8,1,9,3,40
254,8,1,9,3,41
255,8,2,8,4,41
256,8,2,9,2,36
257,8,2,9,3,38
258,8,1,9,2,40
259,8,1,8,2,41
260,8,2,8,3,40
261,8,2,9,1,38
262,8,1,9,2,38
263,8,1,9,2,40
264,8,1,8,2,40
265,8,0,8,3,44
266,8,1,7,5,44
267,8,2,7,4,40
268,8,3,8,1,37
269,8,2,8,3,36
270,8,1,8,3,39
271,8,1,8,3,41
272,8,1,8,3,41
273,8,2,8,3,39
274,8,1,8,3,38
275,8,0,8,3,41
276,8,1,7,4,42
277,8,2,7,4,41
278,8,3,8,1,38
279,8,2,8,3,37
280,8,1,8,3,40
281,8,1,8,3,42
282,8,2,8,3,42
283,8,2,8,3,39
284,8,1,8,3,38
285,8,1,8,1,41
286,8,1,8,3,41
287,8,2,8,3,42
288,8,2,8,3,40
289,8,1,9,3,39
290,8,1,9,2,41
291,8,1,8,3,43
292,8,2,8,3,41
293,8,2,8,3,39
294,8,1,8,3,38
295,8,1,8,2,40
296,8,1,8,3,41
297,8,1,7,3,41
298,8,1,7,4,45
299,8,2,7,4,43
300,8,2,7,4,39
301,8,3,8,4,37
302,8,1,8,4,38
303,8,1,8,4,41
304,8,1,8,4,42
305,8,2,7,5,42
306,8,2,8,3,39
307,8,2,8,4,39
308,8,2,8,4,39
309,8,1,9,1,39
310,20,0,8,13,41
311,20,2,8,16,57
312,20,5,8,17,50
313,20,7,9,18,47
314,20,8,9,20,43
315,20,9,9,21,43
316,20,8,10,22,39
317,20,7,11,21,43
318,20,7,11,24,49
319,20,8,11,25,49
320,20,9,12,25,45
321,20,10,12,27,45
322,20,11,13,27,43
323,20,11,13,28,42
324,20,11,14,28,43
325,20,12,14,29,43
326,20,12,15,29,38
327,20,11,15,30,42
328,20,12,16,28,45
329,20,12,16,30,43
330,20,12,16,31,44
331,20,13,17,30,42
332,20,13,17,31,42
333,20,13,18,29,42
334,20,13,18,31,41
335,20,13,18,31,41
336,20,13,19,29,39
337,20,12,19,31,41
338,20,12,19,31,43
339,20,12,20,28,43
340,20,13,20,30,41
341,20,13,20,30,42
342,20,13,20,30,40
343,20,12,21,29,38
344,20,12,21,29,41
345,20,11,21,29,41
346,20,9,21,29,47
347,20,10,22,29,49
348,20,11,22,28,43
349,20,12,22,27,41
350,20,12,22,27,40
351,20,12,22,27,39
352,20,10,22,26,40
353,20,9,23,25,42
354,20,9,23,25,47
355,20,9,23,25,45
356,20,10,23,24,44
357,20,11,23,24,40
358,20,10,23,23,38
359,20,10,23,23,40
360,20,8,23,22,42
361,20,7,23,22,44
362,20,8,23,22,44
363,20,9,23,21,44
364,20,9,23,21,42
365,20,9,24,19,40
366,20,9,24,19,39
367,20,8,24,18,39
368,20,6,24,18,41
369,20,6,24,17,44
370,20,4,24,17,44
371,20,5,24,16,47
372,20,6,24,15,44
373,20,7,23,15,43
374,20,8,24,17,38
375,20,7,24,14,39
376,20,6,24,13,38
377,20,5,23,13,39
378,20,4,23,13,45
379,20,4,23,13,45
380,20,5,23,12,43
381,20,6,23,11,39
382,20,5,23,11,38
383,20,4,23,10,38
384,20,3,23,10,43
385,20,3,23,10,43
386,20,4,23,9,43
387,20,4,23,9,41
388,20,4,23,8,40
389,20,4,23,8,40
390,20,4,23,8,39
391,20,2,22,10,42
392,20,2,22,8,44
393,20,2,22,7,44
394,20,4,22,7,43
395,20,4,22,7,40
396,20,3,22,6,39
397,20,2,22,6,42
398,20,2,21,6,42
399,20,2,21,6,43
400,20,3,21,6,42
401,20,3,21,6,40
402,20,3,21,6,39
403,20,3,21,6,39
404,20,1,21,6,41
405,20,1,20,9,45
406,20,2,20,6,45
407,20,3,20,6,43
408,20,4,20,6,38
409,20,2,20,6,39
410,20,1,20,6,42
411,20,2,20,6,45
412,20,3,19,7,46
413,20,4,19,7,39
414,20,4,19,8,39
415,20,4,19,8,39
416,20,2,19,8,40
417,20,2,19,8,43
418,20,2,19,8,46
419,20,4,19,8,42
420,20,4,19,8,40
421,20,4,19,9,40
422,20,4,19,9,40
423,20,3,19,9,40
424,20,4,19,9,42
425,20,3,19,9,42
426,20,4,19,9,43
427,20,4,19,9,41
428,20,4,19,10,41
429,20,4,19,10,41
430,20,4,19,10,41
431,20,5,19,10,39
432,20,5,19,10,39
433,20,4,20,9,40
434,20,3,20,10,38
435,20,2,20,10,42
436,20,3,19,11,48
437,20,4,19,11,44
438,20,5,19,11,42
439,20,5,20,10,36
