SETPOINT,PV 1,PV 2,MV 1,Outcome
20,4,20,6,2
20,2,20,6,2
20,1,20,6,2
20,2,20,6,2
20,3,19,7,2
20,4,19,7,2
20,4,19,8,2
20,4,19,8,2
20,2,19,8,2
20,2,19,8,2
20,2,19,8,2
20,4,19,8,2
20,4,19,8,2
20,4,19,9,2
20,4,19,9,2
20,3,19,9,2
20,4,19,9,2
20,3,19,9,2
20,4,19,9,2
20,4,19,9,2
20,4,19,10,2
20,4,19,10,2
20,4,19,10,2
20,5,19,10,2
20,5,19,10,2
20,4,20,9,2
20,3,20,10,2
20,2,20,10,2
20,3,19,11,2
20,4,19,11,2
20,5,19,11,2
20,5,20,10,2
20,4,20,10,2
20,3,20,10,2
20,2,20,10,2
20,3,20,10,2
20,4,20,9,2
20,5,20,9,2
20,4,20,10,2
20,3,20,10,2
20,3,20,10,2
20,4,20,10,2
20,5,20,10,2
20,5,20,10,2
20,5,20,10,2
20,4,20,10,2
20,4,20,10,2
20,4,20,10,2
20,4,20,10,2
20,4,20,10,2
20,5,20,10,2
20,5,20,10,2
20,3,20,10,2
20,3,20,10,2
20,3,20,10,2
20,4,20,10,2
20,5,20,10,2
20,5,20,10,2
20,4,20,10,2
20,3,20,10,2
20,2,20,10,2
20,3,20,10,2
20,4,20,10,2
20,5,20,10,2
20,5,20,10,2
20,4,20,10,2
20,3,20,10,2
20,2,20,10,2
20,3,20,10,2
20,4,20,10,2
20,5,20,10,2
20,5,20,10,2
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,3,20,10,3
20,2,20,10,3
20,3,20,10,3
20,4,20,10,3
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,3,20,10,3
20,2,20,10,3
20,3,20,10,3
20,4,20,10,3
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,4,20,10,3
20,3,20,10,3
20,3,20,10,3
20,4,20,10,3
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,5,20,10,3
20,4,20,10,3
20,3,20,10,3
20,3,20,10,3
20,4,20,10,3
20,4,20,10,3
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,3,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,4,20,10,4
20,4,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,3,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,3,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,4,20,10,4
20,4,20,10,4
20,3,20,10,4
20,2,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,5,20,10,4
20,4,20,10,4
20,3,20,10,4
20,3,20,10,4
20,4,20,10,4
20,5,20,10,4
20,4,20,10,4
20,4,20,10,4
20,4,20,10,4
20,4,20,10,4
20,4,20,10,4
32,4,20,20,4
32,5,20,22,4
32,7,20,24,4
32,9,20,25,4
32,11,20,27,4
32,12,21,25,4
32,12,21,29,4
32,13,21,31,4
32,13,21,33,4
32,14,22,33,4
32,14,22,35,4
32,14,22,36,4
32,15,22,38,4
32,16,23,37,4
32,16,23,39,4
32,16,23,41,4
32,16,23,42,4
32,17,24,43,4
32,17,24,44,4
32,18,24,45,4
32,18,25,43,4
32,19,25,46,4
32,18,25,47,4
32,19,26,45,4
32,19,26,48,4
32,19,26,49,4
32,20,27,47,4
32,20,27,50,4
32,20,27,50,4
32,20,27,51,4
32,20,28,51,4
32,21,28,51,4
32,21,28,52,4
32,21,29,50,4
32,21,29,52,4
32,21,29,53,4
32,22,29,53,4
32,22,30,51,4
32,21,30,53,4
32,21,30,53,4
32,22,30,54,4
32,22,31,53,4
32,22,31,53,4
32,22,31,53,4
32,21,31,54,4
32,21,31,54,4
32,21,32,53,4
32,20,32,53,4
32,21,32,53,4
32,21,32,53,4
32,21,32,53,4
32,21,32,53,4
32,21,33,51,4
32,21,33,52,4
32,21,33,52,4
32,22,33,52,4
32,21,33,52,4
32,21,33,50,4
32,21,34,50,4
32,20,34,50,4
32,20,34,50,4
32,20,34,49,4
32,20,34,49,4
32,20,34,49,4
32,20,34,49,4
32,19,34,48,4
32,19,34,48,4
32,19,35,48,4
32,19,34,45,4
32,19,35,46,4
32,18,35,46,4
32,18,35,45,4
32,18,35,45,4
32,18,35,45,4
32,18,35,44,4
32,17,35,44,4
32,17,35,43,4
32,17,35,43,4
32,18,35,42,4
32,18,35,42,4
32,17,35,42,4
32,17,35,41,4
32,16,35,41,4
32,16,35,40,4
32,16,35,40,4
32,16,35,39,4
32,16,35,39,4
32,16,35,39,4
32,16,35,38,4
32,16,35,38,5
32,15,35,37,5
32,14,35,37,5
32,13,35,37,5
32,13,35,36,5
32,14,34,37,5
32,15,34,36,5
32,15,34,36,5
32,15,34,36,5
32,14,34,35,5
32,14,34,35,5
32,14,34,35,5
32,14,34,35,5
32,14,34,34,5
32,13,34,34,5
32,14,34,34,5
32,14,34,33,5
32,14,34,33,5
32,13,34,33,5
32,11,34,33,5
32,12,34,32,5
32,13,33,33,5
32,13,33,33,5
32,14,33,33,5
32,14,33,32,5
32,12,33,32,5
32,11,33,32,5
32,12,33,32,5
32,13,33,32,5
32,13,33,32,5
32,13,33,32,5
32,14,33,31,5
32,13,33,31,5
32,13,33,31,5
32,13,33,31,5
32,13,33,31,5
32,13,33,31,5
32,13,33,31,5
32,13,32,31,5
32,12,32,31,5
32,12,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,12,32,31,5
32,11,32,31,5
32,11,32,31,5
32,12,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,12,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,32,31,5
32,13,31,34,5
32,13,31,33,5
32,13,31,32,5
32,13,31,33,5
32,14,31,33,5
32,13,31,33,5
32,13,31,33,5
32,13,31,33,5
32,13,31,33,5
32,14,31,33,5
32,14,31,34,5
32,14,31,34,5
32,14,31,34,5
32,13,31,34,5
32,13,31,34,5
32,14,31,34,5
32,14,31,34,5
32,14,31,35,5
32,14,31,35,5
32,14,31,35,5
32,14,31,35,5
32,14,31,35,5
32,14,31,35,5
32,15,31,35,5
32,14,32,35,5
32,14,31,36,5
32,13,31,38,5
32,14,31,35,5
32,15,32,36,5
32,15,31,35,5
32,13,32,36,5
32,13,31,36,5
32,14,31,36,5
32,15,31,36,5
32,15,31,35,5
32,15,31,37,5
32,15,31,35,5
32,15,32,34,5
32,14,32,36,5
32,14,32,36,5
32,14,32,36,5
32,15,32,36,5
32,15,32,36,5
32,14,32,36,5
32,14,32,36,5
32,15,32,36,5
32,15,32,36,5
32,14,32,36,5
32,14,32,36,5
32,14,32,36,5
32,15,32,36,5
32,14,32,36,5
32,13,32,36,5
32,13,32,36,5
32,14,32,36,5
32,15,32,36,5
32,15,32,36,5
32,15,32,36,5
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,13,32,36,6
32,13,32,36,6
32,13,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,14,32,36,6
32,12,32,36,6
32,13,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,14,32,36,6
32,15,32,36,6
32,14,32,36,6
32,15,32,36,6
32,13,32,36,6
32,14,32,36,6
32,14,32,36,6
32,15,32,36,6
32,15,32,36,6
32,13,32,36,6
32,14,32,36,6
8,14,32,16,6
8,12,32,12,6
8,11,32,9,6
8,9,32,5,6
8,7,32,2,6
8,6,31,0,6
8,4,31,0,6
8,3,31,0,6
8,1,30,0,6
8,0,30,0,6
8,0,28,0,6
8,0,27,0,6
8,0,25,0,6
8,0,23,0,6
8,0,22,2,6
8,0,20,0,6
8,0,19,2,6
8,0,17,0,6
8,0,16,1,6
8,0,15,2,6
8,0,14,2,6
8,0,13,0,6
8,0,12,0,6
8,0,10,1,6
8,0,9,1,6
8,0,8,3,6
8,0,7,2,6
8,0,6,3,6
8,1,6,4,6
8,1,5,5,6
8,2,5,6,6
8,2,5,6,6
8,1,6,6,6
8,1,6,6,6
8,1,5,7,6
8,2,5,8,6
8,3,6,7,6
8,1,6,8,6
8,1,7,4,6
8,1,6,8,6
8,2,6,8,6
8,3,7,8,6
8,2,7,8,6
8,1,8,5,6
8,1,7,7,6
8,2,7,8,6
8,3,8,5,6
8,3,8,7,6
8,1,8,7,6
8,1,8,7,6
8,2,8,7,6
8,3,8,7,6
8,4,9,5,6
8,3,9,7,6
8,1,9,6,6
8,1,9,6,6
8,2,9,6,6
8,3,10,3,6
8,2,10,5,6
8,1,10,5,6
8,1,10,4,6
8,1,9,4,6
8,2,9,5,6
8,2,10,3,6
8,1,10,3,6
8,1,10,3,6
8,1,9,4,6
8,1,8,4,6
8,2,8,4,6
8,3,8,4,6
8,3,9,2,6
8,2,9,3,6
8,1,9,3,6
8,1,9,3,6
8,0,8,6,6
8,1,8,4,6
8,2,8,4,6
8,2,8,4,6
8,2,9,4,6
8,1,9,3,6
8,1,9,3,6
8,1,8,4,6
8,2,8,3,6
8,2,8,3,6
8,2,8,3,6
8,2,9,1,6
8,1,9,2,6
8,0,8,5,6
8,1,8,3,6
8,2,8,3,6
8,2,8,3,6
8,2,8,3,6
8,1,9,2,6
8,1,8,3,6
8,1,8,3,6
8,2,8,3,6
8,1,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,7,4,1
8,2,7,4,1
8,3,8,0,1
8,2,8,3,1
8,1,8,3,1
8,1,8,3,1
8,1,8,3,1
8,0,7,3,1
8,2,7,4,1
8,3,7,4,1
8,3,7,5,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,8,5,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,8,5,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,7,4,1
8,1,7,5,1
8,3,7,5,1
8,3,8,2,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,2,9,0,1
8,1,9,3,1
8,1,8,7,1
8,2,8,4,1
8,3,8,4,1
8,2,9,3,1
8,1,9,3,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,2,9,3,1
8,1,9,3,1
8,1,8,5,1
8,1,8,3,1
8,0,8,3,1
8,1,7,5,1
8,2,7,4,1
8,3,7,4,1
8,3,8,4,1
8,1,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,2,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,1,1
8,1,9,3,1
8,2,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,9,3,1
8,0,8,2,1
8,0,8,3,1
8,0,7,5,1
8,1,6,7,1
8,3,6,5,1
8,4,7,5,1
8,3,7,5,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,9,3,1
8,1,9,3,1
8,1,8,3,1
8,2,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,9,3,1
8,1,8,3,1
8,0,8,3,1
8,1,7,5,1
8,2,7,4,1
8,3,8,4,1
8,2,8,4,1
8,1,8,4,1
8,1,8,4,1
8,2,8,4,1
8,2,8,4,1
8,1,9,3,1
8,1,9,3,1
8,1,8,3,1
8,2,8,3,1
8,2,9,3,1
8,1,9,3,1
8,1,8,2,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,9,0,1
8,1,8,4,1
8,2,8,3,1
8,2,8,3,1
8,1,9,2,1
8,0,9,2,1
8,1,8,5,1
8,0,8,3,1
8,1,7,3,1
8,1,7,4,1
8,2,7,4,1
8,2,8,2,1
8,1,8,3,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,8,3,1
8,1,8,3,1
8,2,8,3,1
8,2,8,3,1
8,2,8,3,1
8,1,9,2,1
8,1,8,4,1
8,1,8,3,1
8,0,7,3,1
8,1,7,4,1
8,2,7,4,1
8,2,7,4,1
8,2,8,1,1
8,1,8,4,1
8,1,8,4,1
8,2,7,5,1
