SETPOINT,PV 1,PV 2,MV 1,MV 2,Outcome
8,2,11,2,34,3
8,1,11,2,39,3
8,1,10,6,38,3
8,0,10,2,39,3
8,0,9,2,46,3
8,2,8,3,42,3
8,2,8,3,39,3
8,2,9,3,37,3
8,1,9,2,38,3
8,1,8,4,39,3
8,0,8,2,40,3
8,1,7,4,42,3
8,1,6,3,43,3
8,2,6,4,42,3
8,3,7,1,35,3
8,1,7,4,38,3
8,1,7,4,42,3
8,2,7,4,43,3
8,2,7,5,42,3
8,2,7,5,39,3
8,2,7,5,41,3
8,1,8,4,39,3
8,1,8,4,43,3
8,1,7,7,43,3
8,3,7,5,44,3
8,3,8,1,34,3
8,1,8,5,39,3
8,1,8,5,43,3
8,0,8,5,44,3
8,1,7,6,46,3
8,3,7,5,45,3
8,4,7,6,39,3
8,3,8,5,36,3
8,2,8,5,39,3
8,1,8,5,43,3
8,1,8,5,45,3
8,2,7,7,47,3
8,3,8,6,41,3
8,3,8,5,36,3
8,2,8,5,38,3
8,1,9,5,42,3
8,0,8,7,43,3
8,1,8,5,50,3
8,3,8,5,48,3
8,4,8,5,38,3
8,4,8,5,37,3
8,2,9,3,37,3
8,1,9,4,40,3
8,0,9,4,43,3
8,1,8,5,46,3
8,2,8,5,44,3
8,3,8,5,39,3
8,3,8,5,37,3
8,2,9,1,38,3
8,1,9,4,40,3
8,0,9,4,43,3
8,1,8,5,46,3
8,3,8,4,42,3
8,3,8,4,38,3
8,2,8,4,37,3
8,1,9,3,36,4
8,1,9,3,41,4
8,0,8,4,45,4
8,2,7,5,47,4
8,3,7,5,42,4
8,4,7,5,38,4
8,3,8,4,30,4
8,1,8,4,36,4
8,1,8,4,42,4
8,0,8,4,44,4
8,1,7,5,46,4
8,2,7,5,44,4
8,4,7,5,40,4
8,3,7,6,37,4
8,2,8,5,40,4
8,1,8,5,44,4
8,2,8,5,44,4
8,3,8,5,42,4
8,3,8,5,38,4
8,2,9,5,37,4
8,1,9,4,42,4
8,0,8,6,48,4
8,0,7,7,47,4
8,2,7,6,47,4
8,4,7,6,42,4
8,4,7,6,39,4
8,3,8,5,35,4
8,2,8,5,38,4
8,1,8,5,43,4
8,2,8,5,43,4
8,2,8,5,41,4
8,3,8,5,41,4
8,2,9,0,38,4
8,1,9,4,39,4
8,1,9,4,42,4
8,1,8,7,42,4
8,2,8,5,43,4
8,3,8,5,41,4
8,2,8,5,38,4
8,2,9,1,36,4
8,1,9,4,40,4
8,1,9,4,42,4
8,1,8,5,46,4
8,2,7,6,45,4
8,3,8,0,43,4
8,3,8,5,37,4
8,2,8,5,38,4
8,1,8,7,39,4
8,1,8,5,43,4
8,2,8,5,43,4
8,3,8,5,40,4
8,2,8,5,36,4
8,1,8,5,39,4
8,1,8,6,39,4
8,1,8,5,43,4
8,1,7,7,43,4
8,2,7,5,45,4
8,3,8,0,32,4
8,2,8,5,39,4
8,1,8,5,42,4
8,2,8,5,43,4
8,3,8,5,40,4
8,3,8,5,38,4
8,1,9,0,34,4
8,1,9,4,41,4
8,1,8,5,43,4
8,2,8,5,43,4
8,3,8,5,40,4
8,2,8,5,38,4
8,1,9,5,37,4
8,1,8,6,44,4
8,2,8,5,42,4
8,2,8,5,40,4
8,3,8,5,38,4
8,2,9,0,37,4
8,1,9,4,38,4
8,1,8,6,44,4
8,2,8,5,43,4
8,3,8,5,40,4
8,3,8,5,36,4
8,2,9,5,36,4
8,1,9,4,35,4
8,1,8,5,40,4
8,0,8,4,43,4
8,0,7,5,46,4
8,2,6,7,48,4
8,4,7,6,43,4
8,4,7,6,34,4
8,3,7,6,36,4
8,1,8,5,41,4
8,1,8,5,44,4
8,2,7,7,49,4
8,4,8,5,38,4
8,3,8,5,36,4
8,2,8,5,36,4
8,1,9,5,42,4
8,2,9,5,43,4
8,2,8,5,42,4
8,3,9,3,36,4
8,1,9,4,36,4
8,1,9,4,40,4
8,1,9,4,42,4
8,2,9,5,42,4
8,3,9,4,37,4
8,2,9,4,36,4
8,1,9,3,39,4
8,1,9,3,41,4
8,2,8,5,42,4
8,2,8,4,39,4
8,2,8,4,39,4
8,1,9,2,40,4
8,2,8,4,47,4
8,2,8,4,42,4
8,3,8,4,36,4
8,2,9,0,37,4
8,1,9,3,40,4
8,1,8,8,41,4
8,1,8,4,42,4
8,0,8,4,42,4
8,1,7,5,44,4
8,2,7,5,41,4
8,3,7,5,38,4
8,2,8,4,34,4
8,1,8,4,38,4
8,1,8,4,42,4
8,2,7,4,42,4
8,3,8,2,41,4
8,3,8,4,36,4
8,2,8,4,36,4
8,1,8,4,40,4
8,1,8,4,42,4
8,2,8,4,43,4
8,3,8,4,39,4
8,2,8,4,38,4
8,1,8,4,41,4
8,1,8,4,43,4
8,2,8,4,43,4
8,3,8,4,40,4
8,2,8,4,36,4
8,1,8,4,39,4
8,1,8,4,42,4
8,2,8,4,42,4
8,2,8,4,40,4
8,2,8,4,39,4
8,1,8,4,41,4
8,1,8,4,43,4
8,1,8,4,43,4
8,2,8,4,42,4
8,3,8,4,40,4
8,2,8,4,37,4
8,1,9,0,37,4
8,1,8,6,47,4
8,2,8,4,43,4
8,3,8,4,40,4
8,2,9,1,37,4
8,1,9,3,35,4
8,1,9,3,41,4
8,1,8,4,43,4
8,0,8,4,42,4
8,1,7,7,44,4
8,2,7,5,45,4
8,3,7,5,43,4
8,3,7,5,39,4
8,2,8,4,38,4
8,1,8,4,41,4
8,1,8,4,43,4
8,2,7,5,48,4
20,4,8,6,41,5
